key	en	de	nl	fr	ru	es	pt	it	zh-Hans	ja	ko	zh-Hant	ar	th	vi	tr	pl	ms	id
app_title	TSC Event Survey - 2025.12	TSC-Ereignisumfrage - 2025.12	TSC-evenementenquête - 2025.12	Sondage d’événement TSC - 2025.12	Опрос мероприятия TSC – 2025.12	Encuesta de evento TSC - 2025.12	Pesquisa de Evento TSC - 2025.12	Sondaggio Evento TSC - 2025.12	TSC 活动问卷 - 2025.12	TSC イベントアンケート - 2025.12	TSC 이벤트 설문 - 2025.12	TSC 活動問卷 - 2025.12	استبيان فعالية TSC - 2025.12	แบบสำรวจงาน TSC - 2025.12	Khảo sát sự kiện TSC - 2025.12	TSC Etkinlik Anketi - 2025.12	Ankieta wydarzenia TSC - 2025.12	Tinjauan Acara TSC - 2025.12	Survei Acara TSC - 2025.12

note_schedule	This survey aims to collect your preferred and available time slots for the event, and to help improve and maintain our team’s overall online participation rate. Thank you for your cooperation.	
Diese Umfrage soll Ihre bevorzugten und verfügbaren Zeitfenster für das Event erfassen und dazu beitragen, die allgemeine Online-Teilnahmerate unseres Teams zu verbessern und stabil zu halten. Vielen Dank für Ihre Unterstützung.	
Deze enquête is bedoeld om uw voorkeurstijden en beschikbare tijdslots voor het evenement te verzamelen en om te helpen de algemene online participatiegraad van ons team te verbeteren en te behouden. Dank u voor uw medewerking.	
Ce sondage a pour but de recueillir vos créneaux horaires disponibles et préférés pour l’événement, et d’aider à améliorer et maintenir le taux de participation en ligne de notre équipe. Merci pour votre coopération.	
Этот опрос направлен на сбор ваших предпочтительных и доступных временных слотов для мероприятия, а также на повышение и поддержание общего уровня онлайн-участия нашей команды. Спасибо за ваше сотрудничество.	
Esta encuesta tiene como objetivo recopilar sus horarios preferidos y disponibles para el evento, y ayudar a mejorar y mantener la tasa general de participación en línea de nuestro equipo. Gracias por su cooperación.	
Esta pesquisa tem como objetivo coletar seus horários preferidos e disponíveis para o evento, além de ajudar a melhorar e manter a taxa geral de participação online da nossa equipe. Obrigado pela colaboração.	
Questo sondaggio ha lo scopo di raccogliere i tuoi orari preferiti e disponibili per l’evento, e di contribuire a migliorare e mantenere il tasso generale di partecipazione online del nostro team. Grazie per la collaborazione.	
本问卷旨在收集您在活动中的可参加与偏好时间段，并帮助提升与维持团队整体的线上参与率。感谢您的协助。	
このアンケートは、イベント参加における皆さまの希望・参加可能な時間帯を把握し、チーム全体のオンライン参加率の向上および安定化を図ることを目的としています。ご協力いただきありがとうございます。	
이 설문은 이벤트에 참여할 수 있는 선호 시간대와 가능 시간을 수집하고, 팀의 전체 온라인 참여율을 향상하고 유지하는 데 도움을 주기 위한 것입니다. 협조해 주셔서 감사합니다.	
本問卷旨在收集您在活動中的可參加與偏好時段，並協助提升與維持團隊整體的線上參與率。感謝您的協助。	
يهدف هذا الاستبيان إلى جمع الأوقات المفضلة والمتاحة لديك للمشاركة في الحدث، والمساعدة في تحسين والحفاظ على معدل مشاركة فريقنا عبر الإنترنت. شكرًا لتعاونك.	
แบบสำรวจนี้จัดทำขึ้นเพื่อรวบรวมช่วงเวลาที่คุณต้องการและสามารถเข้าร่วมกิจกรรมได้ และเพื่อช่วยปรับปรุงและรักษาอัตราการเข้าร่วมออนไลน์ของทีมเราให้อยู่ในระดับที่ดี ขอบคุณสำหรับความร่วมมือของคุณ	
Khảo sát này nhằm thu thập khung giờ bạn mong muốn và có thể tham gia sự kiện, đồng thời giúp cải thiện và duy trì tỷ lệ tham gia trực tuyến của toàn đội. Cảm ơn bạn đã hợp tác.	
Bu anket, etkinlik için tercih ettiğiniz ve uygun olduğunuz zaman dilimlerini toplamak ve ekibimizin genel çevrimiçi katılım oranını iyileştirmeye ve korumaya yardımcı olmak amacıyla hazırlanmıştır. İş birliğiniz için teşekkür ederiz.	
Celem tej ankiety jest zebranie preferowanych oraz dostępnych przedziałów czasowych na wydarzenie oraz pomoc w poprawie i utrzymaniu ogólnego poziomu uczestnictwa online naszego zespołu. Dziękujemy za współpracę.	
Tinjauan ini bertujuan untuk mengumpulkan slot masa pilihan dan ketersediaan anda untuk acara tersebut, serta membantu meningkatkan dan mengekalkan kadar penyertaan dalam talian pasukan kami. Terima kasih atas kerjasama anda.	
Survei ini bertujuan untuk mengumpulkan waktu pilihan dan ketersediaan Anda untuk acara tersebut, serta membantu meningkatkan dan menjaga tingkat partisipasi online tim kami. Terima kasih atas kerja samanya.

btn_submit	Submit	Absenden	Verzenden	Envoyer	Отправить	Enviar	Enviar	Invia	提交	送信	제출	提交	إرسال	ส่ง	gửi	Kaydet / Gönder	Wyślij	Hantar	Kirim
btn_next	Next	Weiter	Volgende	Suivant	Далее	Siguiente	Próximo	Avanti	下一へ	次へ	다음	下一步	التالي	ถัดไป	Tiếp theo	Sonraki	Dalej	Seterusnya	Selanjutnya
btn_back	Back	Zurück	Terug	Retour	Назад	Atrás	Voltar	Indietro	返回	戻る	뒤로	返回	رجوع	ย้อนกลับ	Quay lại	Geri	Wstecz	Kembali	Kembali

msg_success	Thank you for your submission!	Vielen Dank für Ihre Teilnahme!	Bedankt voor je inzending!	Merci pour votre participation !	Спасибо за ваш ответ!	¡Gracias por tu respuesta!	Obrigado pela sua resposta!	Grazie per la tua risposta！	感谢您的填写！	ご回答ありがとうございます！	응답해 주셔서 감사합니다!	感謝您的填寫！	شكرًا لمشاركتك!	ขอบคุณสำหรับการตอบแบบสำรวจ!	Cảm ơn bạn đã trả lời!	Katılımınız için teşekkürler!	Dziękujemy za wypełnienie ankiety!	Terima kasih atas jawapan anda!	Terima kasih atas tanggapan Anda!

opt_anytime	Anytime	Jederzeit	Altijd	À tout moment	В любое время	En cualquier momento	A qualquer momento	In qualsiasi momento	任何时间	いつでも	언제나 괜찮음	任何時候	في أي وقت	ได้ทุกเวลา	Bất kỳ lúc nào	Her zaman	Udowolnej porze	Bila-bila masa	Kapan saja
opt_any_day	Any day	Jeder Tag	Elke dag	N’importe quel jour	Любой день	Cualquier día	Qualquer dia	Qualsiasi giorno	任何一天	どの曜日でも	어느 요일이든	任何一天	أي يوم	ได้ทุกวัน	Vào bất kỳ ngày nào	Herhangi bir gün	Dowolny dzień	Apa-apa hari	Hari apa saja
opt_na	N/A	nicht zutreffend	n.v.t.	sans objet	нет данных	No aplica	N/A	Non applicabile	不适用	該当なし	해당 없음	不適用	غير متوفر	ไม่มี	Không áp dụng	Geçerli değil	Nie dotyczy	Tidak berkenaan	Tidak berlaku

q01_title	Please enter your player name.	Bitte gib deinen Spielernamen ein.	Voer je spelersnaam in.	Veuillez saisir votre nom de joueur.	Пожалуйста, введите имя игрока.	Introduce tu nombre de jugador.	Digite seu nome de jogador.	Inserisci il tuo nome giocatore.	请输入你的玩家名。	プレイヤー名を入力してください。	플레이어 이름을 입력하세요.	請輸入您的玩家名稱。	يرجى إدخال اسم اللاعب الخاص بك.	กรุณากรอกชื่อนักเล่นของคุณ	Vui lòng nhập tên nhân vật của bạn.	Lütfen oyuncu adınızı girin.	Wpisz swoją nazwę gracza.	Sila masukkan nama pemain anda.	Silakan masukkan nama pemain Anda.
q01_placeholder	Enter your answer	Antwort eingeben	Vul je antwoord in	Saisissez votre réponse	Введите ваш ответ	Escribe tu respuesta	Digite sua resposta	Inserisci la tua risposta	请输入你的回答	回答を入力してください	답변을 입력하세요.	請輸入您的回答。	أدخل إجابتك	กรอกคำตอบของคุณ	Nhập câu trả lời của bạn	Cevabınızı girin	Wpisz swoją odpowiedź	Masukkan jawapan anda	Masukkan jawaban Anda.

q02_section	Polar Invasion, etc	Polar Invasion usw.	Polar Invasion e.d.	Polar Invasion, etc.	Polar Invasion и др.	Polar Invasion, etc.	Polar Invasion, etc.	Polar Invasion, ecc.	Polar Invasion 等	Polar Invasion など	Polar Invasion 등	Polar Invasion 等	هجوم القطب الشمالي وما شابهه	Polar Invasion ฯลฯ	Polar Invasion, v.v.	Polar Invasion vb.	Polar Invasion itp.	Polar Invasion dan lain-lain	Polar Invasion dan lainnya
q02_title	Please choose your first choice for the time slot.	Bitte wähle deine erste Wunschzeit aus.	Kies je eerste voorkeurs tijdslot.	Veuillez choisir votre premier créneau horaire préféré.	Пожалуйста, выберите желаемый первый временной интервал.	Elige tu primer horario preferido.	Escolha o seu primeiro horário preferido.	Scegli la tua prima fascia oraria preferita.	请选择第1希望的时间段。	第1希望の時間帯を1つ選んでください。	첫 번째로 선호하는 시간을 선택하세요.	請選擇您第一優先的時間段。	يرجى اختيار الوقت المفضل الأول لديك.	โปรดเลือกช่วงเวลาอันดับแรกที่คุณต้องการ	Vui lòng chọn khung giờ ưu tiên 1.	Lütfen ilk tercih ettiğiniz время aralığını seçin.	Wybierz swój pierwszy preferowany przedział czasowy.	Sila pilih slot masa pilihan pertama anda.	Silakan pilih jam pilihan pertama Anda.
q02_opt_A	Server Time 04:00 - 05:00	Serverzeit 04:00–05:00	Servertijd 04:00–05:00	Heure du serveur 04:00–05:00	Серверное время 04:00–05:00	Hora del servidor 04:00–05:00	Horário do servidor 04:00–05:00	Ora server 04:00–05:00	服务器时间 04:00–05:00	サーバー時間 04:00～05:00	서버 시간 04:00–05:00	伺服器時間 04:00–05:00	وقت الخادم 04:00–05:00	เวลาเซิร์ฟเวอร์ 04:00–05:00	Giờ máy chủ 04:00–05:00	Sunucu saati 04:00–05:00	Czas serwera 04:00–05:00	Masa pelayan 04:00–05:00	Waktu server 04:00–05:00
q02_opt_B	Server Time 13:00 - 14:00	Serverzeit 13:00–14:00	Servertijd 13:00–14:00	Heure du serveur 13:00–14:00	Серверное время 13:00–14:00	Hora del servidor 13:00–14:00	Horário do servidor 13:00–14:00	Ora server 13:00–14:00	服务器时间 13:00–14:00	サーバー時間 13:00～14:00	서버 시간 13:00–14:00	伺服器時間 13:00–14:00	وقت الخادم 13:00–14:00	เวลาเซิร์ฟเวอร์ 13:00–14:00	Giờ máy chủ 13:00–14:00	Sunucu saati 13:00–14:00	Czas serwera 13:00–14:00	Masa pelayan 13:00–14:00	Waktu server 13:00–14:00
q02_opt_C	Server Time 21:00 - 22:00	Serverzeit 21:00–22:00	Servertijd 21:00–22:00	Heure du serveur 21:00–22:00	Серверное время 21:00–22:00	Hora del servidor 21:00–22:00	Horário do servidor 21:00–22:00	Ora server 21:00–22:00	服务器时间 21:00–22:00	サーバー時間 21:00～22:00	서버 시간 21:00–22:00	伺服器時間 21:00–22:00	وقت الخادم 21:00–22:00	เวลาเซิร์ฟเวอร์ 21:00–22:00	Giờ máy chủ 21:00–22:00	Sunucu saati 21:00–22:00	Czas serwera 21:00–22:00	Masa pelayan 21:00–22:00	Waktu server 21:00–22:00
q02_opt_D	Anytime	Jederzeit	Altijd	À tout moment	В любое время	En cualquier momento	A qualquer momento	In qualsiasi momento	任何时间	いつでも	언제나 괜찮음	任何時間	في أي وقت	ได้ทุกเวลา	Bất kỳ lúc nào	Her zaman	Udowolnej porze	Bila-bila masa	Kapan saja

q03_section	Elite War / Doom Arena / Zombie Uprise, etc	Elite War / Doom Arena / Zombie Uprise usw.	Elite War / Doom Arena / Zombie Uprise e.d.	Elite War / Doom Arena / Zombie Uprise, etc.	Elite War / Doom Arena / Zombie Uprise и др.	Elite War / Doom Arena / Zombie Uprise, etc.	Elite War / Doom Arena / Zombie Uprise, etc.	Elite War / Doom Arena / Zombie Uprise, ecc.	Elite War / Doom Arena / Zombie Uprise 等	Elite War / Doom Arena / Zombie Uprise など	Elite War / Doom Arena / Zombie Uprise 등	Elite War / Doom Arena / Zombie Uprise 等	Elite War / Doom Arena / Zombie Uprise وما شابه	Elite War / Doom Arena / Zombie Uprise ฯลฯ	Elite War / Doom Arena / Zombie Uprise, v.v.	Elite War / Doom Arena / Zombie Uprise vb.	Elite War / Doom Arena / Zombie Uprise itp.	Elite War / Doom Arena / Zombie Uprise dan lain-lain	Elite War / Doom Arena / Zombie Uprise dan lainnya
q03_title	Please choose your first choice for the time slot.	Bitte wähle deine erste Wunschzeit aus.	Kies je eerste voorkeurs tijdslot.	Veuillez choisir votre premier créneau horaire préféré.	Пожалуйста, выберите желаемый первый временной интервал.	Elige tu primer horario preferido.	Escolha o seu primeiro horário preferido.	Scegli la tua prima fascia oraria preferita.	请选择第1希望的时间段。	第1希望の時間帯を1つ選んでください。	첫 번째로 선호하는 시간을 선택하세요.	請選擇您第一優先的時間段。	يرجى اختيار الوقت المفضل الأول لديك.	โปรดเลือกช่วงเวลาอันดับแรกที่คุณต้องการ	Vui lòng chọn khung giờ ưu tiên 1.	Lütfen ilk tercih ettiğiniz الزمن aralığını seçin.	Wybierz swój pierwszy preferowany przedział czasowy.	Sila pilih slot masa pilihan pertama anda.	Silakan pilih jam pilihan pertama Anda.
q03_opt_A	Server Time around 04:00 - 05:00	Serverzeit ca. 04:00–05:00	Servertijd rond 04:00–05:00	Heure du serveur vers 04:00–05:00	Серверное время около 04:00–05:00	Hora del servidor alrededor de 04:00–05:00	Horário do servidor por volta de 04:00–05:00	Ora server intorno alle 04:00–05:00	服务器时间 大约 04:00–05:00	サーバー時間 おおよそ 04:00～05:00	서버 시간 대략 04:00–05:00	伺服器時間 約 04:00–05:00	وقت الخادم تقريبًا 04:00–05:00	เวลาเซิร์ฟเวอร์ประมาณ 04:00–05:00	Giờ máy chủ khoảng 04:00–05:00	Sunucu saati yaklaşık 04:00–05:00	Czas serwera około 04:00–05:00	Masa pelayan sekitar 04:00–05:00	Waktu server sekitar 04:00–05:00
q03_opt_B	Server Time around 13:00 - 14:00	Serverzeit ca. 13:00–14:00	Servertijd rond 13:00–14:00	Heure du serveur vers 13:00–14:00	Серверное время около 13:00–14:00	Hora del servidor alrededor de 13:00–14:00	Horário do servidor por volta de 13:00–14:00	Ora server intorno alle 13:00–14:00	服务器时间 大约 13:00–14:00	サーバー時間 おおよそ 13:00～14:00	서버 시간 대략 13:00–14:00	伺服器時間 約 13:00–14:00	وقت الخادم تقريبًا 13:00–14:00	เวลาเซิร์ฟเวอร์ประมาณ 13:00–14:00	Giờ máy chủ khoảng 13:00–14:00	Sunucu saati yaklaşık 13:00–14:00	Czas serwera około 13:00–14:00	Masa pelayan sekitar 13:00–14:00	Waktu server sekitar 13:00–14:00
q03_opt_C	Server Time around 21:00 - 22:00	Serverzeit ca. 21:00–22:00	Servertijd rond 21:00–22:00	Heure du serveur vers 21:00–22:00	Серверное время около 21:00–22:00	Hora del servidor alrededor de 21:00–22:00	Horário do servidor por volta de 21:00–22:00	Ora server intorno alle 21:00–22:00	服务器时间 大约 21:00–22:00	サーバー時間 おおよそ 21:00～22:00	서버 시간 대략 21:00–22:00	伺服器時間 約 21:00–22:00	وقت الخادم تقريبًا 21:00–22:00	เวลาเซิร์ฟเวอร์ประมาณ 21:00–22:00	Giờ máy chủ khoảng 21:00–22:00	Sunucu saati yaklaşık 21:00–22:00	Czas serwera około 21:00–22:00	Masa pelayan sekitar 21:00–22:00	Waktu server sekitar 21:00–22:00
q03_opt_D	Anytime	Jederzeit	Altijd	À tout moment	В любое время	En cualquier momento	A qualquer momento	In qualsiasi momento	任何时间	いつでも	언제나 괜찮음	任何時間	في أي وقت	ได้ทุกเวลา	Bất kỳ lúc nào	Her zaman	Udowolnej porze	Bila-bila masa	Kapan saja
q03_opt_E	N/A	nicht zutreffend	n.v.t.	sans objet	нет данных	No aplica	N/A	Non applicabile	不适用	該当なし	해당 없음	不適用	غير متوفر	ไม่มี	Không áp dụng	Geçerli değil	Nie dotyczy	Tidak berkenaan	Tidak berlaku

q04_title	Please choose your first choice of day.	Bitte wähle deinen bevorzugten Wochentag.	Kies je eerste voorkeursdag.	Veuillez choisir votre jour préféré.	Пожалуйста, выберите желаемый день недели.	Elige tu día preferido.	Escolha o seu dia preferido.	Scegli il tuo giorno preferito.	请选择第1希望的星期。	第1希望の曜日を1つ選んでください。	첫 번째로 선호하는 요일을 선택하세요.	請選擇您第一優先的星期。	يرجى اختيار اليوم المفضل الأول لديك.	โปรดเลือกวันในสัปดาห์ที่คุณต้องการเป็นอันดับแรก	Vui lòng chọn ngày ưu tiên 1.	Lütfen ilk tercih ettiğiniz günü seçin.	Wybierz swój preferowany dzień.	Sila pilih hari pilihan pertama anda.	Silakan pilih hari pilihan pertama Anda.
q04_opt_A	Monday	Montag	Maandag	Lundi	Понедельник	Lunes	Segunda-feira	Lunedì	星期一	月曜日	월요일	星期一	الاثنين	วันจันทร์	Thứ hai	Pazartesi	Poniedziałek	Isnin	Senin
q04_opt_B	Tuesday	Dienstag	Dinsdag	Mardi	Вторник	Martes	Terça-feira	Martedì	星期二	火曜日	화요일	星期二	الثلاثاء	วันอังคาร	Thứ ba	Salı	Wtorek	Selasa	Selasa
q04_opt_C	Wednesday	Mittwoch	Woensdag	Mercredi	Среда	Miércoles	Quarta-feira	Mercoledì	星期三	水曜日	수요일	星期三	الأربعاء	วันพุธ	Thứ tư	Çarşamba	Środa	Rabu	Rabu
q04_opt_D	Thursday	Donnerstag	Donderdag	Jeudi	Четверг	Jueves	Quinta-feira	Giovedì	星期四	木曜日	목요일	星期四	الخميس	วันพฤหัสบดี	Thứ năm	Perşembe	Czwartek	Khamis	Kamis
q04_opt_E	Friday	Freitag	Vrijdag	Vendredi	Пятница	Viernes	Sexta-feira	Venerdì	星期五	金曜日	금요일	星期五	الجمعة	วันศุกร์	Thứ sáu	Cuma	Piątek	Jumaat	Jumat
q04_opt_F	Saturday	Samstag	Zaterdag	Samedi	Суббота	Sábado	Sábado	Sabato	星期六	土曜日	토요일	星期六	السبت	วันเสาร์	Thứ bảy	Cumartesi	Sobota	Sabtu	Sabtu
q04_opt_G	Sunday	Sonntag	Zondag	Dimanche	Воскресенье	Domingo	Domingo	Domenica	星期日	日曜日	일요일	星期日	الأحد	วันอาทิตย์	Chủ nhật	Pazar	Niedziela	Ahad	Minggu
q04_opt_H	Any day	Jeder Tag	Elke dag	N’importe quel jour	Любой день	Cualquier día	Qualquer dia	Qualsiasi giorno	任何一天	どの曜日でも	어느 요일이든	任何一天	أي يوم	ได้ทุกวัน	Vào bất kỳ ngày nào	Herhangi bir gün	Dowolny dzień	Apa-apa hari	Hari apa saja
